web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw
"1692628368-1","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=6","1 Zimmer, CHF 900.—","8400 Winterthur, ZH","","«günstiges möbliertes Zimmer in Winterthur»","1 Zimmer, CHF 900.—8400 Winterthur, ZH«günstiges möbliertes Zimmer in Winterthur»Wir bieten Ihnen ein gepflegtes möbliertes Zimmer in Winterthur an. Die Wohnung wird wöchentlich wird - und dieser Service ist bereits in der Miete enthalten. Sauberkeit ist uns sehr wichtig!Das Zimmer ist hell und modern eingerichtet, mit einem bequemen Bett, einem Tisch mit Stuhl, einem grossen Kleiderschrank, Lampen, einem Regal und einem LCD-TV. Sie erhalten zudem kostenloses WLAN.Alle Nebenkosten, einschliesslich Strom, Wasser und Heizung, sind in der Miete enthalten.Sie teilen sich das Badezimmer und die Küche mit freundlichen und ruhigen"
"1692628368-2","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=6","1 Zimmer, CHF 1300.—","Obergasse, 8400 Winterthur, ZH","","«Studio im Zentrum von Winterthur»","1 Zimmer, CHF 1300.—Obergasse, 8400 Winterthur, ZH«Studio im Zentrum von Winterthur»Mitten in der Altstadt vermieten wir schöne Studios. Sie können bequem alles zu Fuss erreichen. Die Hochschulen bzw. der Hauptbahnhof sind ebenfalls in wenigen Gehminuten erreichbar.Alle Nebenkosten sind im Mietzins inklusive. ein kostenloses WLAN ist ebenfalls im Mietzins inklusive.Ihr Studio wird vor dem Einzug neu gestrichen. Die Küche und das Badezimmer sind etwas älter aber in einem einwandfreien und gepflegten Zustand. Ein Lift ist vorhanden.Wir machen keine Massenbesichtigungen, sondern nehmen uns für jeden einzelnen Interessenten persön"
"1692628368-3","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=6","1 Zimmer, 20 m², CHF 1400.—","8400 Winterthur, ZH","","«Studio in Altstadt von Winterthur»","1 Zimmer, 20 m², CHF 1400.—8400 Winterthur, ZH«Studio in Altstadt von Winterthur»Mitten in der Altstadt vermieten wir schöne Studios. Sie können bequem alles zu Fuss erreichen. Die Hochschulen bzw. der Hauptbahnhof sind ebenfalls in wenigen Gehminuten erreichbar.Alle Nebenkosten sind im Mietzins inklusive. ein kostenloses WLAN ist ebenfalls im Mietzins inklusive.Ihr Studio wird vor dem Einzug neu gestrichen. Die Küche und das Badezimmer sind etwas älter aber in einem einwandfreien und gepflegten Zustand. Ein Lift ist vorhanden.Wir machen keine Massenbesichtigungen, sondern nehemn uns für jeden einzelnen Interessenten persön"
"1692628368-4","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=6","CHF 280.—","8404 Winterthur, ZH","","«Ferienhaus in Wildhaus»","CHF 280.—8404 Winterthur, ZH«Ferienhaus in Wildhaus»"
"1692628368-5","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=6","2 Zimmer, 50 m², CHF 100.—","8400 Winterthur, ZH","","«Vermiete massage Zimmer»","2 Zimmer, 50 m², CHF 100.—8400 Winterthur, ZH«Vermiete massage Zimmer»"
"1692628372-6","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","3,5 Zimmer, 86 m², CHF 2350.—","Riedhofstrasse 45, 8408 Winterthur, ZH","","«Neue moderne 3.5-Zimmerwohnung an zentraler Lage»","3,5 Zimmer, 86 m², CHF 2350.—Riedhofstrasse 45, 8408 Winterthur, ZH«Neue moderne 3.5-Zimmerwohnung an zentraler Lage»"
"1692628372-7","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","3,5 Zimmer, 88 m², CHF 1990.—","Wieshofstrasse 24, 8408 Winterthur, ZH","","«Renovierte Altbauwohnung in Wülflingen»","3,5 Zimmer, 88 m², CHF 1990.—Wieshofstrasse 24, 8408 Winterthur, ZH«Renovierte Altbauwohnung in Wülflingen»"
"1692628372-8","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","3,5 Zimmer, 80 m², CHF 2232.—","8400 Winterthur, ZH","","«MÖBLIERT, TEMPORÄR: 3½ ZI-WOHNUNG IN WINTERTHUR - WÜLFLINGEN»","3,5 Zimmer, 80 m², CHF 2232.—8400 Winterthur, ZH«MÖBLIERT, TEMPORÄR: 3½ ZI-WOHNUNG IN WINTERTHUR - WÜLFLINGEN»MIETDAUER ab 3. Januar 2024 bis 17. Mai 2024 (mind. 4 Monate) Charmante Altbau Wohnung im Erdgeschoss in einem ruhigen & freundlichen Quartier mit viel umliegender Natur & trotzdem nah am Bahnhof, 80m², im 1. Stock, 1 Terrasse, Garten, Gartensitzplatz (zur Mitbenützung), Öffentliche Parkplätze in der Nähe. Inkl. Heizung, Strom, Wasser, Internet, ... Weitere Infos, Fragen & Besichtigen: ums.ch/angebots-detail/60119/English: ums.ch/offer-detail/60119/Français: ums.ch/offre-detail/60119/"
"1692628372-9","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","2,5 Zimmer, 55 m², CHF 1770.—","Wülflingerstrasse 155, 8408 Winterthur, ZH","","«Urbanes Wohnerlebnis»","2,5 Zimmer, 55 m², CHF 1770.—Wülflingerstrasse 155, 8408 Winterthur, ZH«Urbanes Wohnerlebnis»Per sofort oder nach Vereinbarung vermieten wir diese schöne 2.5-Zimmerwohnung im Herzen von Winterthur. Die Wohnung bietet Ihnen folgende Annehmlichkeiten: - Schlafzimmer mit Laminatboden- Küche und Nasszelle mit pflegeleichtem Boden- Grosses Wohnzimmer mit viel Tageslicht- Helles und geräumiges Zimmer- Küche mit Glaskeramikherd, Geschirrspüler, und ausreichend Stauraum für Ihre Küchenutensilien- Badezimmer mit WC, Lavabo, Spiegelschrank und Dusche- Korridor mit praktischen Einbauschränken- Waschküche und Trockenraum zur Mitbenutzung HaustiereAnbieter kontaktierenKontaktieren"
"1692628372-10","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn=5","4,5 Zimmer, 125 m², CHF 2564.—","Sulzerallee 87, 8404 Winterthur, ZH","","«Höchstmass an Wohngenuss»","4,5 Zimmer, 125 m², CHF 2564.—Sulzerallee 87, 8404 Winterthur, ZH«Höchstmass an Wohngenuss»"
